region;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;age;sex
Namangan region;132754;135127;136632;136781;134926;129955;123307;118751;110881;104008;102082;100343;20-24;female
Samarkand region;184281;185363;187884;188949;186474;182664;174949;168749;159717;152080;146974;146036;20-24;female
Surkhandarya region;125809;128470;128353;130062;129029;129305;124716;121399;115052;108855;104297;101976;20-24;female
Syrdarya region;43292;43171;42133;41316;39691;38307;36830;35920;34838;33807;33683;33127;20-24;female
Tashkent region;137758;135436;132877;131116;127691;124679;120962;116065;110084;101587;98554;96316;20-24;female
Fergana region;172664;174838;178089;180807;177381;171369;164079;155243;144319;135767;130455;126165;20-24;female
Khorezm region;85588;86267;87101;86577;84550;82715;79543;78180;76579;74868;73188;72257;20-24;female
Tashkent city;100673;96252;94023;92915;91974;91776;91131;89944;90531;94432;95329;96117;20-24;female
Republic of Karakalpakstan;86623;88987;89651;90989;93427;93128;90854;88037;84459;78962;76467;74124;25-29;female
Andijan region;128551;131354;132892;134798;137737;140306;143094;144640;146271;142988;137839;132624;25-29;female
Bukhara region;85699;87645;88207;88959;89838;90083;89544;89246;87213;83803;80586;77308;25-29;female
Jizzakh region;59507;61109;62274;64648;65990;67281;68061;68458;68252;66956;64618;62094;25-29;female
Kashkadarya region;141979;147394;150458;151574;154302;156036;157433;157369;158616;154348;150673;145126;25-29;female
Navoi region;44706;45550;46079;45740;46356;46838;47487;47566;47577;45652;43542;40993;25-29;female
Namangan region;115753;120055;123114;126794;129845;132557;134758;136064;136037;133991;128846;122137;25-29;female
Samarkand region;165477;171286;173741;176331;179043;181136;182171;184421;185341;182608;178993;171504;25-29;female
Surkhandarya region;112031;116289;119472;121495;124424;125326;127638;127347;128655;127311;127323;122561;25-29;female
Syrdarya region;41113;42392;43617;43685;43897;43539;43299;42288;41601;40050;38527;36872;25-29;female
Tashkent region;130126;132903;134435;134764;134985;133299;131145;129062;127281;120555;118022;114968;25-29;female
Fergana region;153706;160004;162606;164278;167915;171435;173540;176650;179125;175659;169500;162408;25-29;female
Khorezm region;82756;84208;83964;84108;84564;85511;86243;87068;86258;84170;82194;78850;25-29;female
Tashkent city;106178;107678;106433;103558;102386;100219;99163;99591;103174;108357;109431;109501;25-29;female
Republic of Karakalpakstan;69543;72031;74532;77729;81129;84187;86701;87515;89003;91476;91096;88773;30-34;female
Andijan region;105032;108438;112259;117780;123018;127216;129950;131470;133311;136186;138840;141682;30-34;female
Bukhara region;68969;70909;73666;77539;81232;84582;86607;87043;87355;88053;88210;87679;30-34;female
Jizzakh region;43608;46202;49003;50964;54376;58738;60297;61490;63790;65037;66229;66858;30-34;female
Kashkadarya region;108264;113592;118812;126979;134358;140751;145596;148178;148063;150332;151728;153032;30-34;female
Navoi region;36035;37383;38879;40636;42581;44195;45371;46114;45658;46345;46825;47204;30-34;female
Namangan region;95574;98611;101878;106415;110980;114990;119283;122230;125648;128557;131236;133430;30-34;female
Samarkand region;128904;134444;140934;148720;156152;163105;168762;170957;172885;175230;177464;178474;30-34;female
Surkhandarya region;86403;90736;95025;100624;105739;111018;115195;118342;119779;122400;123084;125325;30-34;female
Syrdarya region;31105;32732;34462;36531;38749;40884;42221;43396;43287;43571;43201;42964;30-34;female
Tashkent region;104326;107055;110985;116205;121764;126890;130089;132111;132623;129031;127401;125805;30-34;female
Fergana region;127860;131233;134026;139960;145656;152477;158811;161398;162801;166247;169857;171664;30-34;female
Khorezm region;69426;71944;74139;77189;80151;82293;83825;83610;83616;84071;85026;85634;30-34;female
Tashkent city;92797;94292;96870;100930;104032;107510;109856;110838;113548;118904;118251;117667;30-34;female
Republic of Karakalpakstan;58749;60376;62453;64292;65583;67872;70457;72951;76109;79322;82311;84634;35-39;female
Andijan region;96959;97028;98353;99246;100586;103846;107239;111035;116421;121505;125653;128388;35-39;female
Bukhara region;62314;63073;64327;65243;66063;68096;70003;72712;76131;79659;82832;84838;35-39;female
Jizzakh region;36292;37728;39177;40881;42210;43026;45601;48434;50260;53486;57808;59209;35-39;female
Kashkadarya region;89375;91594;95253;98915;102718;107195;112263;117028;123856;130695;136648;141250;35-39;female
Navoi region;31106;31395;32090;32973;33906;35502;37066;38676;40421;42335;43963;44869;35-39;female
Namangan region;86937;86904;88298;89334;91354;94893;97890;101055;105396;109800;113662;117855;35-39;female
Samarkand region;106236;109899;113711;117374;121824;127143;132648;138937;145979;153054;159784;165210;35-39;female
Surkhandarya region;71580;73167;75629;78477;81701;85413;89673;93869;98928;103742;108738;112765;35-39;female
Syrdarya region;23354;24951;26349;27764;29009;30730;32322;34021;35979;38176;40299;41585;35-39;female
Tashkent region;87712;91250;93908;95646;97895;101649;104850;109099;114595;117086;121947;125142;35-39;female
Fergana region;118154;118503;120968;122981;124080;126642;130082;132970;138600;144049;150802;156977;35-39;female
Khorezm region;61486;62025;63789;65123;66609;68811;71368;73551;76304;79204;81265;82808;35-39;female
Tashkent city;85491;86796;89871;90642;90604;93103;95220;99536;108760;118228;124125;128017;35-39;female
Republic of Karakalpakstan;97655;98903;100076;101954;104386;107332;110587;114562;117945;119761;122426;126251;40-49;female
Andijan region;171802;175241;177754;179959;182794;185661;187673;191396;192611;194473;197142;200581;40-49;female
Bukhara region;111485;112603;113721;115349;117508;119461;120809;123627;124765;125815;127035;129681;40-49;female
Jizzakh region;63259;63271;63745;64533;66100;67541;69170;71628;73920;76024;77748;81652;40-49;female
Kashkadarya region;150351;152642;155402;157712;161500;165685;169050;175440;179360;184984;190773;197470;40-49;female
Navoi region;51037;51766;52196;53080;54331;55659;57518;59436;61268;63173;65226;67093;40-49;female
Namangan region;144004;148147;151207;154854;158689;161546;164289;168866;171830;175222;178950;181734;40-49;female
Samarkand region;183705;184427;186249;188343;192316;196732;201086;207736;212997;220099;227941;236872;40-49;female
Surkhandarya region;120563;122608;125101;127433;130657;133930;136788;141079;144529;148533;152868;158532;40-49;female
Syrdarya region;39682;39284;39448;39999;40941;42098;43796;45926;47920;49796;52509;55597;40-49;female
Tashkent region;165087;163478;162872;163938;165325;167136;170302;174239;176140;174269;179140;186368;40-49;female
Fergana region;204745;208365;212287;215214;219913;223389;226418;232484;235529;238066;240754;244085;40-49;female
Khorezm region;94354;97541;100694;104125;107689;111578;114775;118867;121874;124626;127579;130472;40-49;female
Tashkent city;161866;162621;161117;162823;165817;168164;169691;172545;179009;188335;194878;200936;40-49;female
Republic of Karakalpakstan;68373;72290;75899;79294;82210;84151;85562;86407;87499;89525;91654;92783;50-59;female
Andijan region;121417;128002;134566;140877;145872;149522;152714;155056;158249;161617;165023;168560;50-59;female
Bukhara region;81401;85945;90179;93840;97261;99565;101249;102099;103413;105004;106874;108012;50-59;female
Jizzakh region;49572;52065;54171;56275;57568;58524;59218;59567;59965;60551;60624;60687;50-59;female
Kashkadarya region;108819;115243;121065;126245;130715;133771;136904;138156;139730;141271;143479;145206;50-59;female
Navoi region;40175;41872;43538;44975;46132;46698;47268;47201;47326;47685;48270;49236;50-59;female
Namangan region;101808;107813;113761;118756;122567;125724;128745;130367;132491;135548;138459;142578;50-59;female
Samarkand region;145723;153507;159908;165988;169639;172282;174533;174737;175389;175886;176174;176765;50-59;female
Surkhandarya region;83413;88822;93506;98149;101327;103975;106626;108374;110095;112004;114537;116273;50-59;female
Syrdarya region;31316;32987;34325;35599;36351;36942;37188;37308;37351;37563;37415;37120;50-59;female
Tashkent region;136996;142850;147311;150976;153983;155640;156691;157112;157063;152993;152388;151705;50-59;female
Fergana region;150078;158587;165927;172936;178148;182606;185851;187785;190350;193587;197334;201357;50-59;female
Khorezm region;65563;69329;72467;75480;78163;79934;81715;83239;85026;87250;90238;93468;50-59;female
Tashkent city;142264;144844;146094;146956;147911;146572;148562;149931;154766;162095;164774;167019;50-59;female
Republic of Karakalpakstan;18383;19538;21144;21781;23338;25080;27509;29907;32430;34929;36922;38357;60-64;female
Andijan region;32633;35887;38922;40537;43674;46107;50892;55050;59343;62824;66588;68322;60-64;female
Bukhara region;21337;23761;25914;27768;29426;30736;33615;36439;39272;42456;45343;46850;60-64;female
Jizzakh region;13118;14537;15985;16979;18507;19616;21215;22471;24034;25324;26458;27360;60-64;female
Kashkadarya region;26773;29503;32747;35211;38564;41486;45519;49601;53209;56748;59500;61654;60-64;female
Navoi region;11188;11986;12791;13533;14328;15026;16452;17962;19176;20358;21397;21940;60-64;female
Namangan region;26100;28477;30784;32692;35552;38249;42511;46491;50428;53283;56098;57673;60-64;female
Samarkand region;38692;41736;45073;47680;52503;56282;61891;66980;71669;75311;78943;81188;60-64;female
Surkhandarya region;19971;21860;24092;25679;28411;30818;34202;37601;40968;43829;45851;47536;60-64;female
Syrdarya region;7990;8762;9592;10205;11278;11990;13100;13973;14914;15633;16472;16896;60-64;female
Tashkent region;39697;42898;46089;48725;52108;54840;59217;62502;65458;66322;69006;70645;60-64;female
Fergana region;41266;44961;48122;50035;53951;57114;63230;68871;74572;79118;83087;85165;60-64;female
Khorezm region;17886;19384;21056;21786;23264;24811;27213;29513;31790;34112;35883;37027;60-64;female
Tashkent city;52508;54683;56468;57848;58974;61863;63522;65456;67721;72648;73785;75397;60-64;female
Republic of Karakalpakstan;31236;32061;32927;34893;36578;38468;40345;42729;44915;47905;50887;54853;65-gt;female
Andijan region;57990;58316;59324;62623;65661;69326;72772;76828;81243;86769;92748;100364;65-gt;female
Bukhara region;38028;38602;39710;41684;44024;47052;49807;52907;56019;59342;63305;68822;65-gt;female
Jizzakh region;25073;25636;26515;28074;29472;31514;33531;35847;38061;40718;43476;46358;65-gt;female
Kashkadarya region;49320;50389;51243;54124;56572;59777;63219;67295;71751;76782;81756;87923;65-gt;female
Navoi region;18002;18369;18821;19817;20845;22266;23731;25164;26677;28396;30731;33226;65-gt;female
Namangan region;48131;48625;49532;51776;54295;57071;59830;62881;66379;71417;76367;82696;65-gt;female
Samarkand region;65849;67456;69908;73903;77364;82051;86654;92424;98248;105700;113428;122513;65-gt;female
Surkhandarya region;38836;39336;40080;41956;43712;45876;48086;51033;53814;57525;61216;65796;65-gt;female
Syrdarya region;10830;11253;11747;12530;13092;13966;14971;16171;17452;18951;20528;22413;65-gt;female
Tashkent region;73817;75008;77077;80404;83742;88336;92681;98067;102809;104988;112014;120542;65-gt;female
Fergana region;78432;79151;80636;84357;88160;92712;97169;102041;107232;113932;121382;131197;65-gt;female
Khorezm region;31266;31767;32359;34364;35959;37881;39731;41861;43905;46667;49666;53678;65-gt;female
Tashkent city;102751;105485;109430;113705;118218;123417;128306;134479;139608;146703;156434;164517;65-gt;female
Republic of Karakalpakstan;56736;56977;59325;60176;60578;58542;57293;57926;59437;60507;61759;64076;0-2;male
Andijan region;89918;91483;96625;101561;103868;103165;106735;110923;118290;122445;127622;131644;0-2;male
Bukhara region;52269;53125;55957;58547;59212;58619;59245;60945;63196;64072;65992;68605;0-2;male
Jizzakh region;39641;39971;41747;44578;46876;47398;48231;50529;54666;58850;61365;62621;0-2;male
Kashkadarya region;99286;102755;107842;112173;115709;116304;118167;122391;130093;138376;144870;150228;0-2;male
Navoi region;27820;28363;29249;30281;30974;31221;32096;33116;34815;37350;39117;40477;0-2;male
Namangan region;79327;82004;87195;93123;96135;95552;97586;102428;109404;115971;121366;125779;0-2;male
Samarkand region;115038;117551;123496;128208;131262;131604;135536;141280;148397;155931;162978;169339;0-2;male
Surkhandarya region;80419;82730;85656;90803;94406;96224;97084;101131;106861;114445;119855;126156;0-2;male
Syrdarya region;24490;24454;25313;26144;26750;26681;26861;28385;30324;32984;34363;35458;0-2;male
Tashkent region;82819;82600;84270;86827;87746;85698;85621;89238;94915;99324;105339;109899;0-2;male
Fergana region;104963;106036;110501;116461;119089;118654;120317;125095;134068;143149;150412;157020;0-2;male
Khorezm region;54049;54851;57378;59673;60250;58904;59293;60399;62666;64113;66255;69540;0-2;male
Tashkent city;59566;60027;61748;63459;65838;67149;68963;72574;79880;90090;100264;109399;0-2;male
Republic of Karakalpakstan;56716;58044;57126;56986;57241;59726;60802;61318;58782;57239;57718;59361;3-5;male
Andijan region;91716;94469;92082;90522;91920;96966;101892;104260;103267;106669;110747;118513;3-5;male
Bukhara region;51679;52908;52533;52104;52918;55681;58051;58695;57944;58776;60587;63109;3-5;male
Jizzakh region;40443;41122;40401;40049;40236;42064;44889;47166;47507;48192;50402;54753;3-5;male
Kashkadarya region;94899;97964;98841;101766;104972;109528;113870;117092;116370;117809;121928;130527;3-5;male
Navoi region;26846;27318;27694;27851;28459;29464;30704;31409;31477;32137;33097;34783;3-5;male
Namangan region;81054;80867;79811;79254;81884;86990;92883;95797;95124;97160;101997;109384;3-5;male
Samarkand region;113685;117874;116116;117088;119119;125149;130405;133606;132828;136101;141443;149011;3-5;male
Surkhandarya region;76355;78973;79949;81688;83629;86705;91969;95861;96839;97250;101080;107524;3-5;male
