Bundesland;Stadt;Kreis / Landkreis;FreizügG/EU_m;FreizügG/EU_w; Niederlassungserlaubnis_m; Niederlassungserlaubnis_w;Befristete_AE_m;Befristete_AE_w;Ausbildung_m;Ausbildung_w;Erwerb_m;Erwerb_w;AE_human_m;AE_human_w;AE_family_m;AE_family_w;NVisa_m;NVisa_w;Antrag_m;Antrag_w;Duldung_m;Duldung_w;AEgestattung_m;AEgestattung_w;OhneAT_m;OhneAT_w
Nordrhein-Westfalen;Bonn; kreisfreie Stadt;0;0;25;40;15;20;10;15;5;5;0;0;0;5;0;0;5;5;0;0;0;5;5;5
Nordrhein-Westfalen;Köln; kreisfreie Stadt;0;0;45;65;30;35;5;10;10;5;10;15;5;10;0;0;15;15;5;5;5;5;15;5
Nordrhein-Westfalen;Leverkusen; kreisfreie Stadt;0;0;10;15;5;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
Nordrhein-Westfalen;Städteregion Aachen; Landkreis;0;0;15;25;25;15;15;5;5;0;0;0;5;5;0;5;10;5;0;5;0;5;5;0
Nordrhein-Westfalen;Düren; Landkreis;0;0;5;0;5;5;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;5;0
Nordrhein-Westfalen;Rhein-Erft-Kreis;;0;0;10;15;10;5;5;0;5;0;0;5;0;0;0;0;0;5;5;0;0;0;5;0
Nordrhein-Westfalen;Euskirchen; Landkreis;0;0;0;0;0;5;0;0;0;0;0;5;0;0;0;0;5;0;0;0;5;0;0;0
Nordrhein-Westfalen;Heinsberg; Landkreis;0;0;5;5;0;5;0;0;0;0;0;5;0;0;0;5;0;0;5;0;5;5;5;5
Nordrhein-Westfalen;Oberbergischer Kreis;;0;0;5;5;5;0;0;0;0;0;0;0;5;0;0;0;0;0;5;0;0;0;0;0
Nordrhein-Westfalen;Rheinisch-Bergischer Kreis;;0;0;5;5;10;5;0;0;0;0;10;5;0;0;0;0;0;0;0;5;0;0;0;0
Nordrhein-Westfalen;Rhein-Sieg-Kreis;;0;0;10;20;15;15;5;5;0;0;10;5;5;5;0;0;5;5;5;0;0;0;5;0
Nordrhein-Westfalen;Bottrop; kreisfreie Stadt;0;0;0;0;5;5;0;0;0;0;5;5;0;0;0;0;0;0;0;0;0;0;0;0
Nordrhein-Westfalen;Gelsenkirchen; kreisfreie Stadt;0;0;5;10;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nordrhein-Westfalen;Münster; kreisfreie Stadt;0;0;5;10;10;5;5;0;5;0;0;0;0;0;0;0;5;5;0;0;0;0;10;0
Nordrhein-Westfalen;Borken; Landkreis;0;0;5;0;10;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
Nordrhein-Westfalen;Coesfeld; Landkreis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;5;0
Nordrhein-Westfalen;Recklinghausen; Landkreis;0;0;5;10;10;15;0;0;0;0;5;15;0;5;0;0;0;5;0;0;0;0;5;5
Nordrhein-Westfalen;Steinfurt; Landkreis;0;0;0;5;15;10;5;0;0;0;10;10;0;0;0;0;5;0;0;0;0;0;20;0
Nordrhein-Westfalen;Warendorf; Landkreis;0;0;5;5;5;10;0;0;0;0;5;5;0;5;0;0;0;5;0;0;5;5;0;0
Nordrhein-Westfalen;Bielefeld; kreisfreie Stadt;0;0;5;15;10;5;0;0;0;0;0;0;5;5;0;0;0;0;0;0;0;0;5;0
Nordrhein-Westfalen;Gütersloh; Landkreis;0;0;0;5;5;5;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0
Nordrhein-Westfalen;Herford; Landkreis;0;0;10;5;10;5;5;0;0;0;5;5;0;0;0;0;0;0;0;0;0;0;0;0
Nordrhein-Westfalen;Lippe; Landkreis;0;0;5;5;0;5;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;5;0
Nordrhein-Westfalen;Minden-Lübbecke; Landkreis;0;0;5;0;10;15;0;0;0;0;5;5;0;5;0;0;0;0;5;0;0;0;0;0
Nordrhein-Westfalen;Paderborn; Landkreis;0;0;10;10;5;5;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
Nordrhein-Westfalen;Bochum; kreisfreie Stadt;0;0;10;15;25;15;15;5;0;0;0;0;5;10;0;0;10;5;0;0;0;0;10;5
Nordrhein-Westfalen;Dortmund; kreisfreie Stadt;0;5;20;20;20;15;10;0;5;0;0;0;5;10;0;0;0;5;0;0;0;0;5;5
Nordrhein-Westfalen;Hagen; kreisfreie Stadt;0;0;0;5;5;5;0;0;5;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0
Nordrhein-Westfalen;Hamm; kreisfreie Stadt;0;0;5;5;10;10;0;0;5;0;5;5;0;5;0;0;0;0;0;0;0;0;5;5
Nordrhein-Westfalen;Herne; kreisfreie Stadt;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;0;0;0;0;0;0
Nordrhein-Westfalen;Ennepe-Ruhr-Kreis;;0;0;5;10;15;5;0;0;5;0;5;0;5;0;0;0;5;5;0;0;0;0;0;5
Nordrhein-Westfalen;Hochsauerlandkreis;;0;0;5;5;5;5;0;0;0;0;0;0;5;5;0;0;0;0;0;0;0;0;5;0
Nordrhein-Westfalen;Märkischer Kreis;;0;0;5;5;15;10;0;0;0;0;10;5;0;5;0;0;0;5;0;0;0;0;5;0
Nordrhein-Westfalen;Olpe; Landkreis;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nordrhein-Westfalen;Siegen-Wittgenstein; Landkreis;0;0;10;10;20;15;5;0;5;0;5;5;5;10;0;0;0;5;0;0;5;5;5;0
Nordrhein-Westfalen;Soest; Landkreis;0;0;0;0;10;10;5;0;0;0;5;5;0;5;0;0;5;0;0;0;0;0;0;0
Nordrhein-Westfalen;Unna; Landkreis;0;0;5;5;5;5;0;0;0;0;0;5;0;0;0;0;0;0;0;0;5;0;0;0
Hessen;Darmstadt; kreisfreie Stadt;0;0;10;10;10;10;5;5;0;0;0;0;5;0;0;0;0;5;0;0;0;0;5;0
Hessen;Frankfurt am Main; kreisfreie Stadt;0;0;55;55;60;80;25;25;15;10;5;5;15;35;0;5;15;15;0;0;0;0;20;15
Hessen;Offenbach am Main; kreisfreie Stadt;0;0;5;5;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hessen;Wiesbaden; kreisfreie Stadt;0;0;10;20;15;10;0;0;5;0;0;0;10;10;0;0;5;5;0;0;0;0;0;0
Hessen;Bergstraße; Landkreis;0;0;10;10;5;5;0;0;0;0;0;0;5;5;0;0;0;0;0;0;0;0;0;0
Hessen;Darmstadt-Dieburg; Landkreis;0;0;0;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hessen;Groß-Gerau; Landkreis;0;0;5;10;10;10;5;5;0;0;0;0;5;5;0;0;0;0;0;0;0;0;5;0
Hessen;Hochtaunuskreis;;0;0;15;20;15;15;5;0;5;0;0;0;0;10;0;0;0;5;0;0;0;0;0;5
Hessen;Main-Kinzig-Kreis;;0;0;10;20;10;10;5;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0
Hessen;Main-Taunus-Kreis;;0;0;5;10;10;10;0;0;5;0;0;0;5;10;0;0;5;0;0;0;0;0;5;5
