uzname;runame;enname;2021-M01;2021-M02;2021-M03;2021-M04;2021-M05;2021-M06;2021-M07;2021-M08;2021-M09;2021-M10;2021-11;2021-M12;2022-M01;2022-M02;2022-M03;2022-M04;2022-M05;2022-M06;2022-M07;2022-M08;2022-M09;2022-M10;2022-M11;2022-M12;2023-M01;2023-M02;2023-M03;2023-M04;2023-M05;2023-M06;2023-M07;2023-M08;2023-M09;2023-M10;2023-M11;2023-M12;2024-M01;2024-M02;2024-M03;2024-M04;2024-M05;2024-M06;2024-M07;2024-M08;2024-M09;2024-M10;2024-M11
Nok;?????;Pears;20067,7;21759,5;23934,1;26760,4;28262,3;27907,6;23152,7;20173;19047,6;19169,7;20558,8;22266,8;23443,8;24091,6;24425;24469,7;25179,7;24828,1;19402;16848,2;16002,5;16696,9;17592,8;19407,9;22459,7;23943,5;25719,9;28156,1;30163,9;29482,9;26469,9;25042,9;24111,2;23942,8;24724,2;25829,2;26920,8;26626,5;26314,3;26130,8;25769,4;25068,9;22870,9;20873,6;20084,5;19848,9;20213,1
Uzum;????????;Grape;16901,5;19732,9;24667,8;29830;56409,7;19951,1;11215,8;9892,6;9070,2;9111,9;10104,6;11750,9;13996;15289,8;17150,7;19150,7;21963,8;15290,7;10512,1;8985,2;8249,7;8129,3;9063,5;11559,7;15676,8;18450,5;20863,6;25411,3;25201,4;20321,7;16980,7;16001,4;17515,1;21051,2;27011,7;31014,5;32783,7;33762,1;35494,1;38735,7;42003,8;29477,2;15064,8;13255,7;12526,2;12460,5;14619,7
Tarvuz;?????;Watermelon;3183;2767;2574,2;25402,8;15683,9;2969,4;1599,9;1527,8;1739,8;2068,5;2588,2;3161,5;3836,4;4096,7;9860,7;15896,9;10790,2;3525;1730,3;1770,8;1835,5;1954,2;2402,2;3147,8;3841;5962,7;7536,4;25225,2;11758,1;2470;2409,1;2179,8;2374,8;2773,5;3943,3;6153,8;8785;12253,3;15113,5;21336,9;13402,5;4578,9;1758,2;1197,3;1665,5;2247,3;2766,2
Qovun;????;Melon;3819,6;3694,7;3282,2;0;17296,9;5436,1;3250,8;2723;2665;2831,8;3157,1;3606,4;4496,2;4507,2;8054;9376,8;13941,5;587579;3054,9;2907,6;2801,5;2870,3;3256;3960,2;4723,7;5997,5;9422,5;7568,2;11531,3;5301,9;4733,9;3937,7;3793;4087,5;4931,7;7073,9;10240,2;14114,4;15996,7;17867,5;14749,3;8034,9;3943,8;2667,5;2830,3;3282,3;3707,5
Mayiz;??????;Kishmish;30528,8;30974,4;31621,4;32112,1;32612,9;32695,9;32956,4;33198,2;33462,4;33749;34307,8;34492,9;35159,5;35431,1;35547;35208;35737,9;35820,5;36003,4;36226,7;36488,2;36874,8;37669,9;38421,1;41134,2;42691,2;43271,9;43457,5;43279,5;43336;43162,5;42828,9;42895;43104,9;44037,3;45190,1;46262,7;46907;47404,8;48435,8;49423,9;50265,1;50773,2;51124,1;53229,8;52809;52574,6
Karam;???????;Cabbage;2075;2154,2;2168;2462,3;2063,8;1575,4;1724,9;1946,8;2324,2;2829,4;3326,1;3817,9;4581,5;4902,7;5046,7;5169,6;4236,5;3622,8;3147,6;2977,6;2837,1;2784,7;2805,3;2909,2;3245,5;3859,7;3820,4;4398,7;4579,2;3245,4;3379,3;5159,6;5676,7;4343;3449,2;3100;3111,8;2900,6;2983,4;3145,5;2713,2;2205,5;2313,8;2522,6;2627,4;2765,4;2924,3
Bodring;??????;Cucumbers;19244,2;16211,7;16590,5;12271,4;4666,4;2299,3;3442;4561,3;4415,7;5163,6;6817,1;11843,7;16078,2;16791,6;17051,2;13018,4;5665,5;4492,8;4238,1;4603;5204,3;6981,9;13538,1;19346;25398,2;25867,6;23051,5;13639;5137,6;3251,1;4749,3;6925,7;6267;7588,3;16852,8;26535,9;29722,9;28703,8;27524,6;19844,3;8778,3;5451,8;4321,7;5139,7;7286,9;9117,1;14940,1
Pomidor;????????;Tomatoes;10820,4;11566,5;15408;14976,5;10031,5;5552,6;3512,2;3570,6;4341,3;6072,4;9789,3;11900,5;14423,5;14911,4;16704,8;17195,6;13193,9;7828,1;4045,6;4758,4;6623,9;7914,6;11334,7;14388,1;18572,2;20089,6;25936,9;32207,3;15259,7;6232,9;4749,4;4252,4;4432,7;6749,4;14503,5;24277,8;28910,4;28221,6;28034,9;28369,5;20000,4;10263,5;5018,4;4824,8;6356;8484,2;16168,7
Baqlajon;?????????;Eggplant;16227,2;26786,3;27167,5;22421,3;12121,2;3566,4;2428,1;2293,3;2544,2;3293,1;5891,1;14276;22678,4;38351,6;36358,4;29638,8;16810,4;7589,8;3979,9;3408,8;3602,8;4086,2;5978,5;12842,7;21652,5;30037,4;33365,7;33303,1;17342,4;8109,5;5364,9;4373,5;4528,5;4761;6271,5;12916,1;32850,2;32853,7;34750,8;36079,2;20947,4;9393,1;4541,2;4054,7;4753,8;5570,3;8801,7
Bulgor qalampiri;????? ??????????;Bell pepper;20474,4;28087,3;38542,6;31637,9;17666,1;6351,9;3962,3;3519,7;3792,8;4477,8;7868,2;13092,9;18229,5;22636,7;27846;30127,6;19019,4;10071,9;6577,5;5939,2;6034,9;6949,9;9867,4;15195,9;25324,8;36882,9;44600,2;48217,6;21199;8719,2;6466,1;5758,6;5830,1;6145,2;8547,8;15334;29296,3;36171,9;43477;45506,5;25186,8;12552,2;7446,2;6334,2;6589;7954,8;14080
Qovoq;?????;Pumpkin;2348;2660,3;3121,6;4570,7;6014,9;4444,9;3710,9;3267,4;2916;2749,7;2773,5;2992,8;3385,2;3843,8;4199,5;4629,5;4931,9;4575,6;4389,4;3651,2;315427;3052,7;3109;3216,9;3471,8;4031,1;4453,9;5869,1;7425,3;6185,4;5426,4;4927,2;4326,4;3946,8;3717,5;3642,3;3756,2;3852,4;4248,2;4909,5;5937,3;6281,2;5256,1;4078,7;3631,8;3438,6;3379,6
Sabzi;???????;Carrot;2073,2;2039,7;2181,3;2895,9;3691,2;6920,6;7009;6130,3;5166,4;3950,2;2627,3;2261,7;2323,2;2458;2640;3092,9;3315,3;3215,6;2986,1;2858,8;2827,8;3000;3174,2;3128,5;3375,7;3702,6;3535;3831,6;4063,2;3958,5;4240,9;4772,4;5124;4311,8;3292,8;2927,5;2904,1;2735,1;2743,2;2759,4;2814,4;2877,1;2911,3;3188,8;3609,3;3688,5;3523,5
Sarimsoq;??????;Garlic;22186,1;22044,8;22212,2;23005,7;20356,4;15382,2;15313,6;16107,8;17282,7;19312,1;21364,6;23850,2;26989,5;27898,4;28398,3;27598,2;21119,6;15526,2;15438,2;16018,1;16290,5;16337,1;16660,4;17619,5;19353,5;20352,8;20972,5;21562,5;20191,8;17550,1;17407,8;17451,9;18576,7;20228,3;23745,3;27457,8;32693,4;35042,8;35957,3;36635,7;32197,9;23344,9;22614,9;23854,4;26838;29921,2;32116,4
Piyoz;??? ????????;Onion;2081,3;2045,8;2025,7;2112;1894,2;1602,6;1588,4;1711,8;1855,4;1999,3;2136,2;2151,6;2193,1;2345,1;2823,9;3361,7;3438,2;3646,7;4208,1;3965,5;3372,5;3227,2;3686,5;4287,3;5793,6;7700,9;6909,8;6219,4;4879,5;3613,3;3555,2;3333,4;3221,7;3154,3;2987,9;2892,2;2965,7;2931,3;2844,3;2804,2;2477,6;2079,2;2025,1;2208,7;2394,2;2487,1;2749,6
Kartoshka;?????????;Potatoes;4033,4;4123,6;4230,8;4501,7;4483,2;3547;3255;3301,6;3601,2;4100;4659,1;4664,5;4697,6;4801,2;4539,9;4075,9;4164,8;4265;3742,9;3752,5;3845,3;4021,3;4180,6;4375,9;4878,8;5156,1;5008,7;4872,6;4823,6;4018;3846,6;3982;4258,8;4290,9;4192,5;4175,3;4233;4164,8;4140,1;4205;4527,7;4479,5;4228;4409,8;4840,5;4954,9;5377,5
Loviya;??????;Beans;12959,7;13128,8;13304,4;13416,4;13540,6;13554;13474,2;13436,5;13418,3;13277,5;13434,5;13500;13553,7;13565,2;13504,1;13290,2;13198;13164;13061,5;13081,9;13199,6;13381,4;13534;13773,2;14209,7;14623,6;15613,8;16615,8;17016,6;17245,9;17456;17751,4;17902,9;18014,4;18155,4;18314,1;18625,6;18857,6;19059,9;19540,6;20250,5;20965,9;22051,5;23050,6;23779,5;23233,1;22384,1
Noxot;?????;Peas;12035,5;13040,7;13842,3;14446,4;14971,4;15149,3;15182,7;15416,6;15579,4;15636,5;16075,9;16269,6;16908,9;17255,7;17414,6;17553,6;17899,3;18110,1;18114,3;18320,4;18502,2;18884,1;19371,5;19734,1;20318,8;20874,4;21473,9;21950,8;22058,5;21978,2;21940,7;21942,3;21943,9;21933,4;21948,9;22085,9;22501,5;22667,3;22668,6;22723,1;22805,2;22815,4;22827,8;22786,2;22077,6;21840,3;21731,1
Mosh;???;Mash;11768,1;11904,6;11982,4;12090,4;12167,7;12208,4;12344,8;12889,5;13256,1;13102,2;12969,3;12920;12903,8;12919,6;12877,3;12764;12868;13069,5;13241,4;13353;13556,3;13620;13591,5;13625,3;13851,9;13971,1;14094,8;14087,8;14026,2;13990,4;13935,7;13990,3;14093;14064;14025,3;14007,2;14014,7;14132,2;14237,3;14406,5;14691,9;15013,4;15584,4;16168,9;17354,9;17515,3;17034,5
Shakar;????? ?????;Sugar;7359,7;7449,2;7597,3;7975,6;8372,4;8474,7;8498,1;8510,8;8506,5;8534,4;8893;9031,2;9084;9097,4;9735,2;10169,5;10635,1;12644,3;13834,1;13779,9;13695,3;13777,9;13456,6;12960,7;12855,9;12930,7;13420,2;14361,3;14823,1;14560,5;14012,3;13961,7;13922,4;13908;14111,1;14181,3;14141,5;13957,9;14006,2;14362,1;14595,4;14490;14480,1;14461,7;14389,8;14261,1;14072,9
